wl_position,days_before,distance_km,journey_month,day_of_week,festival,wl_type_score,class_demand,quota_demand,popularity,final_status
92,36,1330,3,4,0,0.35,0.72,0.75,75,WAITING
128,16,709,4,3,1,0.35,0.8,0.75,66,WAITING
100,53,848,11,6,0,0.45,0.65,0.75,60,RAC
50,4,971,9,3,0,0.35,0.78,0.92,86,WAITING
168,13,1615,4,0,1,1.0,0.65,0.92,96,WAITING
151,2,649,1,2,0,0.75,0.65,0.75,51,WAITING
102,37,1010,12,1,0,0.75,0.72,0.92,85,WAITING
72,55,267,5,4,0,1.0,0.78,0.75,62,CONFIRMED
126,54,747,11,4,0,0.45,0.8,0.92,79,WAITING
5,35,609,4,4,0,0.45,0.85,0.92,95,CONFIRMED
35,29,1039,5,5,1,1.0,0.72,0.95,100,CONFIRMED
111,30,533,8,2,0,0.75,0.78,0.95,76,WAITING
40,43,243,2,0,0,1.0,0.85,0.95,80,CONFIRMED
24,8,896,9,4,0,0.75,0.8,0.95,70,RAC
101,36,684,10,6,1,0.35,0.72,0.92,90,WAITING
66,51,1391,3,4,0,0.35,0.78,0.75,81,CONFIRMED
77,57,1085,6,0,0,1.0,0.85,0.92,89,CONFIRMED
14,7,1067,9,5,0,0.45,0.78,0.75,68,RAC
43,21,1501,10,0,0,0.45,0.65,0.75,73,RAC
179,32,451,11,6,1,1.0,0.72,0.92,92,WAITING
34,20,695,10,1,0,0.45,0.65,0.75,56,CONFIRMED
154,31,1634,8,1,0,1.0,0.8,0.95,77,WAITING
116,28,998,11,4,0,1.0,0.78,0.75,75,WAITING
91,28,1215,12,2,0,0.45,0.65,0.95,74,WAITING
93,14,1256,4,3,1,0.35,0.8,0.75,86,WAITING
178,51,477,4,0,1,0.35,0.85,0.92,100,WAITING
96,11,1208,7,2,0,0.75,0.72,0.75,61,WAITING
160,23,1573,1,4,0,0.75,0.65,0.92,87,WAITING
86,45,1464,5,5,0,0.35,0.78,0.75,80,RAC
4,50,301,7,6,0,0.35,0.85,0.75,72,CONFIRMED
123,40,1436,8,6,0,0.35,0.85,0.92,92,WAITING
172,55,1599,1,3,0,0.35,0.8,0.75,59,WAITING
58,44,444,9,1,0,1.0,0.85,0.95,76,CONFIRMED
76,18,1046,11,5,1,1.0,0.65,0.92,100,WAITING
176,2,663,3,1,0,0.45,0.85,0.75,70,WAITING
118,59,1457,9,2,0,1.0,0.8,0.75,64,RAC
44,35,1688,8,0,0,0.45,0.65,0.92,86,CONFIRMED
16,40,820,11,5,0,0.35,0.8,0.75,62,CONFIRMED
152,44,274,6,0,0,0.35,0.78,0.95,68,WAITING
62,30,746,2,3,0,0.45,0.78,0.75,57,CONFIRMED
152,15,192,12,0,0,1.0,0.65,0.75,53,WAITING
83,41,1599,11,6,0,0.45,0.78,0.75,81,RAC
110,21,1698,10,3,1,0.45,0.65,0.92,96,WAITING
78,7,1178,8,3,0,1.0,0.78,0.92,80,WAITING
137,57,1184,12,3,0,1.0,0.8,0.75,70,RAC
126,31,467,11,3,0,1.0,0.72,0.75,57,WAITING
124,36,477,5,4,0,0.35,0.72,0.95,85,WAITING
77,20,634,1,2,0,0.45,0.65,0.92,74,WAITING
46,25,520,2,2,0,0.75,0.8,0.92,68,RAC
110,12,1127,11,5,0,0.75,0.72,0.92,97,WAITING
134,40,617,12,3,0,0.35,0.72,0.95,70,WAITING
61,33,886,3,3,0,1.0,0.85,0.75,73,CONFIRMED
23,52,1019,6,0,0,0.75,0.72,0.95,89,CONFIRMED
159,50,1293,6,1,0,0.75,0.72,0.95,83,WAITING
70,58,166,5,2,0,0.75,0.65,0.92,73,CONFIRMED
29,40,1343,2,4,0,0.45,0.65,0.75,77,CONFIRMED
97,40,1627,10,0,1,1.0,0.78,0.92,100,WAITING
64,46,1242,12,3,0,0.75,0.65,0.75,59,CONFIRMED
77,25,1608,12,5,0,0.45,0.65,0.95,98,WAITING
96,0,945,3,2,0,0.45,0.72,0.95,86,WAITING
148,11,722,10,3,0,0.45,0.85,0.92,85,WAITING
65,58,648,1,2,0,1.0,0.65,0.75,58,CONFIRMED
153,56,615,12,4,0,1.0,0.65,0.75,67,WAITING
60,41,1080,7,0,0,0.45,0.65,0.95,83,CONFIRMED
136,19,277,4,4,0,0.45,0.85,0.75,71,WAITING
95,45,1291,8,4,0,0.75,0.72,0.75,72,RAC
20,55,262,2,0,0,1.0,0.65,0.95,67,CONFIRMED
87,24,892,1,0,0,0.35,0.65,0.92,71,WAITING
33,44,833,5,0,0,0.75,0.65,0.95,71,CONFIRMED
101,29,645,12,3,0,1.0,0.78,0.75,47,WAITING
93,60,1309,4,6,0,1.0,0.8,0.75,81,CONFIRMED
9,28,1108,4,2,0,0.75,0.65,0.92,80,CONFIRMED
157,41,345,1,5,0,0.45,0.72,0.75,55,WAITING
